input_text,target_text
یہاں ہر آدمی پرند سے محبت کرنا ہونا ۔,وہ پس پردہ چلاگیا۔
صرف دو انڈے میٹھے بنائے جائیں گے,نام موجود نہ تھا۔
حالات کا جبر دیکھیے۔,یاسر عرفات کی اہلیہ مسیحی ہیں۔
بے شک ہم ووٹ نہیں ڈال سکتے,کہ آدمی کو حقیقت پسند بھی ہونا چاہیے۔
وہ میری نادانی پر بےاختیار کھلکھلا کر ہنس پڑی,ماسک لازمی قرار دینے کا فیصلہ کیا گیا
روٹی اور سالن سب ختم ہو چکا ہے۔,انہوںنے ناریل کے چھلکے سے کاربن حاصل کرکے
چونکہ ہم مسلمانوں کے گھر پیدا ہوئے لہذا جبری مسلمان قرار پائے,کام چل رہا ہے کے اصول پر وہ اس طریق قانون سازی سے سمجھوتاکیے رہتے ہیں
تیری چشم الم نواز کی خیر,''تر دامنی پہ شیخ ہماری نہ جائیو
پھول پسند کرتا ہوں,اپنا درد تو حیوان بھی محسوس کر تے ہیں
یہ طاقتیں خیر اور شر کی طاقتیں ہیں,حماد کدھر ہے اور کب تک آئے گا
رسمی مذہب اسے بدی کا مجسمہ قرار دیتا ہے,آپ سے مل کر بہت خوشی ہوئی۔
جیسے جنگلات اور باغات کے حسن کا فرق جو انسان خود ترتیب دیتا ہے,اوراگر اب ہوتے تو کچھ کر بیٹھتے۔
وہ بھی بجھ گئیں۔,آج یوں موج در موج غم تھم گیا اس طرح غمزدوں کو قرار آ گیا
ایف پی سی سی ائی کا ٹیکس افسران کو دیئے گئے اختیارات واپس لینے کا مطالبہ,جیسا ہم جانتے ہیں۔
نمائش کے لیے پیش کی گئی۔,لیکن دوسری طرف دیکھا جائے
وقاص علی کی شہادت کی تحقیقات کروائی جائے فاروق ستار,معصوم جانوں کا یا پھرحرمت دین کا
سفید رنگ کی جھاگ ملی ہوئی ہے,اور اکثریت کا ماننا ہے کہ ناکامی کی اصل وجہ مصباح الحق کی دفاعی حکمت عملی ہے ۔
منتخب دوستوں کے محدود حلقے ہی میں آسودہ رہتا ہوں۔,آصف علی زرداری زیادہ سمجھدار ہیں۔
شکایات کے باوجود انتخابات کے بعد ایک موقع تھا۔,اللہ ان کی مدد کرے
اداکارہ کی گاڑی ایک ٹرک سے پیچھے سے,دکھا دیتے ہیں ہم ہر اک کا انجام
آجا آجا کہ تیرے بغیر میری کوئی زندگی نہیں ہے,تو اس کی نشان دہی کرے اگر کوئی بات قابل گرفت ہے۔
آئی ایم ایف کے ساتھ کن شرائط پر بات ہو رہی ہے,"اور پھر سپاہی سے کہا ""ارے ہاں۔"
’مولا جٹ‘ کا ہے جس کی,نہ ملاح ہے۔
یہ جو کچھ ہو رہا ہے۔,آخر نتیجہ یہ نکالا کہ سفید جھاگ یقینا کچھ نمکیات کی وجہ سے ہوگی
کیا ہم ملک کولاقانونیت کی طرف لے جانا چاہتے ہیں,ضد کی ہے اور بات مگر خو بری نہیں
بزرگ بچوں کو بربری وحشی کہتے ہیں,ووڈا فون آئیڈیا
خود کو وقت دنیا پسند کرتا ہوں,لفظوں سے کھیلنا جانتی ہے
جدید اصطلاح میں اسی کو 'بنانا ریپبلک‘ کہتے ہیں۔,ایم کیو ایم کرنا پریس کانفرنس دیکھئے سوشل میڈیا پر دستیاب ہونا
سو کر ہی نہ اٹھیں یہ ارادہ تو نہیں تھا,احد چیمہ کو ہی لیجئیے۔
انفرادی طور پر ہندسوں کی چھٹائی کریں,روجر فیڈرر کی مونٹے کارلو ٹورنامنٹ میں واپسی
پر منایا جانے لگا سوائے امریکہ,جو ممالک اپنے آپ کو مہذب کہتے ہیں۔
ٹھنڈی ٹھنڈی ہوا میرے پسینے سے بھیگے بدن سے ٹکراتی ہے,آج یہ نمائندگی سیاسی جماعتیں کرتی ہیں
اتوار کو وہ ہمیشہ گھر پر ہی ہوتا ہے۔,ڈالر کی قیمت میں اچانک اضافہ حیران کن ہے اسحاق ڈار
چائے اور روٹیاں جو جو کچھ جلد بازی میں ذہن میں آیا خرید لیااور گاڑی کا انتظار کرنے لگے ۔,اس خواب کو ادھورا ہی رہنے دیا جائے۔
ان میں بے شمار فرقے ہیں اور بہت سے لوگ لبرل ہیں۔,دپیکا سب سے مہنگی اداکارہ
اور جب ایک ہی جیسا مینہ آسماں سے برستا ہے تو کہیں رحمت بن جاتا ہے,اللہ کے آخری رسول سیدنا
نوٹس لیا جائے گا۔,نا پسندیدہ شخص
پانچ کروڑ روپے سے,آپ نے بہت ہی اچھی رپورٹ بنائی
موڈرچ یوئیفا کے سال کے بہترین کھلاڑی کا ایوارڈ لے اڑے,نہ پیچیدہ ریاضی کا۔
باکسرمحمد علی کی تدفین پندرہ ہزار ٹکٹ تقسیم,تو کتنی رقم
ان کے ٹائروں میں ہوا بھری گئی تھی۔,طرح طرح کے پرندے
عزم کی مضبوطی کے ساتھ اپنا وقت گزارو,کپڑے نچوڑ دو
ٹی ٹوئنٹی ٹرائی سیریز زمبابوے کی ٹیم سٹریلیا کے مد مقابل ہو گی,کیا کمال کے افسر تھے۔
لہذا ایسی رقم کا انہیں یاد نہیں۔,قرآن صرف صبح پڑھ لینا کافی ہے
وہی جمہوریت جس کی مذمت صبح و شام ہمارا وظیفہ ہے۔,مکمل ہو گا۔
تو انہوں نے بتایا کہ بزنس خراب ہے۔,کہ گرین ہاؤس ایفیکٹ کیا ہے
اور جب ملک سے باہر ہوتے ہیں پاکستانی پاسپورٹ غایب گویا ڈبل مزہ,انگریزی کا مطالعہ زیادہ تر ممالک میں کیا جاتا ہے۔
بلکہ ماضی میں وہ اس کے عملی مظاہر پیش کر چکی ہے۔,امریکہ جانے اور اس کی افغان جنگ۔
جب میں پہلی جگہ یہاں آیا تھا,اور ہم حافظ جی کی طرح پورا قرآن پڑھ گ بغیر سمجھ
چینے,جو سائیکلوں پہ تھے۔
جتنے قومی اسمبلی کے منتخب رکن ہیں۔,انگیکا
ان کی سوانح حیات خود ان کے قلم سے مرتب موجود ہے۔,لیکن ٹانکا لگانا کوئی ان سے سیکھے۔
کن کھلاڑی نے اچھ کارکردگی پیشہ کی اور وہ کونہ سے کھلاڑی تھے,مشرقی ایشیا
وہ مل کر بعض مظلوموں کے حق میں آواز اٹھا رہے تھے۔,جس سے حکمران خاندان انکاری تھا
کراچی نیب کی سابق ڈی جی ریلوے جی ایم قریشی کے خلاف تحقیقات مکمل,آج نوازشریف صاحب کے خلاف جن الزامات کا ذکر ہوتا ہے
ایک اور احتیاط بھی کر لینی چاہیے۔,بہت سے ہمارے طور طریقے فرسودہ ہیں۔
اور ڈراموں کی دلکش مارکیٹ ہے۔,آزمائش میں کتنے سرخرو نکل رہے ہیں۔
مبتلا ہیں اور انہیں,مضبوط اور پختہ ہوجاتا ہے
اسٹیٹ بینک انڈیا,چاہے پارسی ہو یا کوئی اور ہم سب پاکستانی بھائی بھائی ہیں
زمین کون سی ہل گئی۔,اس سے بہتر تھا۔
آدمی کے پاس پیسے ہوں۔,تو کمزوریوں پہ بھی پردہ پڑ جاتاہے۔
دوسری کے ذمہ برتن دھونا اور کھانا پکانا تھا,میں لاہور میں پلا بڑھا
یہ وقت ہی بتائے گا۔,ان کے وزرائے خارجہ جایا کرتے تھے۔
یہ ضروری معلوم ہوتا ہے,روس میں پولیس نے اپنے ہی دوست کا جسم کاٹ کر بازار میں بیچنے والے شخص کو گرفتار کرلیا گیا ہے
شاید حساب کتاب کا وقت آن پہنچا ہے۔,حکومت نے جو بھی سبسڈی دینی ہے وہ کسان کو ملے گی
کامن ویلتھ گیمز میں پاکستان نے پہلا گولڈ میڈل جیت لیا,بس جو اختیارات تھے۔
یہ ان کی عطا ہے جو اس سیاسی بندوبست کے خالق ہیں۔,تھانے کا ایس ایچ او بھی ملوث تھا۔
البتہ استاد گرامی سید قاسم محمود,لیکن وہ کیفیت ہم میں کہاں سے آتی
مخالفت کا سامنا نہیں کر سکتا,پہلے کبھی نہ دیکھی تھی
تمام اخراجات متعلقہ محکمہ ادا کرے گا,قبروں پر آج بھی پھول چڑھائے جا رہے ہیں
جو سوکھے لوگ ہیں۔,الیکشن ہونے ہیں۔
سو کر ہی نہ اٹھیں یہ ارادہ تو نہیں تھا,احد چیمہ کو ہی لیجئیے۔
کچھ بھی نہیں۔,اعصابی نظام کی دائمی بیماری بنیادی طور پر مرکزی اعصابی نظام کو متاثر کرتی ہے
سونے کی قیمتوں میں ایک بار پھر ہوشربا اضافہ,اپنی مزدوری کا انتظار کرتا ہے
سالہ کشمیری بچے نے شین وارن کا دل جیت لیا,لاہور کی مثال لے لیں ایک وقت تھا۔
ایمیزون کے جنگلات نذر آتش ہو رہے ہیں۔,اس کے نزدیک یہ مدارس دین نہیں طاقت کے مراکز ہیں۔
ہمیں کوئی لی کوآن یو کب نصیب ہوگا,تو جامعہ پنجاب میں۔
مجھے نہیں پتا وہ کون ہے,وطن قبیلے اور نسل کی محبت انسان کی فطرت میں ہے۔
اپلائنسز انڈسٹری,مجھے یقین ہے اچھا ہی ہو گا۔
اس کا ماخذ انسان کے اندر نہیں اس کے خارج میں ہے۔,اسپاٹ فکسنگ کی پیشکش عمر اکمل کیخلاف ئی سی سی کی تحقیقات
میں دیکھتا ہوں,بڑے مواقع تھے۔
کیا دور دیکھنے والی ان کی نظر تھی۔,سب نے نیک خواہشات کے ساتھ ہمیں الوداع کیا
لیکن سیکورٹی فورس بلیک میل ہونا چکنا ہونا,علامات کی چھٹائی نظرانداز کریں
فوج بہت بدل چکی ہے,کیا دین دار لوگ ہیں۔
مجھے بزم دہر سے لے چلے,بازیچۂ اطفال ہے دنیا مرے آگے
یہ حقیر انسانی خواہشیں ہیں جو اس وقت حکمران ہیں۔,ان کے بلے بازوں کے سامنے ہو گا
جو کہنا تھا۔,حکومت اگر سمجھتی ہے کہ یہ پہلا اور آخری چیلنج ہے۔
سٹریلیا سے ٹیسٹ سیریز کیلئے قومی ٹیم کا اعلان عامر ڈراپ,اس کی مسکراہٹ نے اس کے غصےپر پردہ ڈال رکھا تھا
اللہ کی نافرمانی ہو,نظم اجتماعی کے خلاف عوام میں بغاوت پیدا کرتے ہیں۔
ایک تحقیق کے مطابق انس جسم کی بیماری,صارفین کی جانب سے یہ بات باور کرائی جا رہی ہے
ٹی بی کی ویکسین,ور یہی وجہ ہی کہ سماٹرا کو جس زلزلی نی نشانہ بنایا
اور قوانین اپنے فطری ارتقا سے محروم رہتے ہیں,وسطی افریقہ
ہاکی چیمپئنز ٹرافی بیلجیئم نے پاکستان کودو کے مقابلے میں چار گول سے شکست دے دی,بال ٹیمپرنگ کیس اسٹیو اسمتھ اور ڈیوڈ وارنر پر ایک سال کی پابندی
بنیادی انسانی حقوق کا احترام جمہوریت کا حصہ ہے۔,کیپ ٹائون جنوبی افریقہ نے دورہ بھارت کیلئے ٹیم کا اعلان کردیا
یہ ضروری معلوم ہوتا ہے کہ مختصر طور پر,کوئی تعصب نظر نہیں آتا
تو سہگل صاحب کی۔,اصل ٹارگٹ پہ نظریں جمی ہوئی ہیں۔
یہ بہت سے اجزاء کا مجموعہ ہے,ہاتھ رکھ کر سوچنے کے بعد کہا۔
اورنعرے لگاتے ہوئے آگے بڑھنا تھا۔,افراد کی جانب سے یہ مطالبہ کیا جا رہا ہے
حال ہی میں اپنی اہلیہ میرا راجپوت,تو ظاہر ہے کہ وزیر خارجہ کا درجہ کہیں زیادہ ہے۔
ہم آپ کو صمیم قلب سے خوش آمدید کہتے ہیں,محکمہ تعلیم۔
اس کو میڈیکل کالج میں داخلہ مل گیا,اور وہ اتنے پستہ تھے
وہ آزادی کا ماحول ہے۔,کہ کورونا وائرس کی عالمی وبا
ان کے پاس کوئی چوائس ہی نہیں ہوتی۔,نہ سینڈوچ نہ کچھ اور۔
لیکن ہم اس بارے کچھ سوچ نہیں رکھتے۔,اگر نہ ہوں۔
چرب زبان ہوں,وہ ایک مثبت کردار ادا کرسکتے ہیں۔
کروڑ روپے سے زیادہ بنتی ہے۔,کیا اردو مضمون نگاری کیلئے کوئ ویبسائٹ یا بلاگ موجود ہے
تیسرامسئلہ یہ پیدا ہوتا ہے,کچے دودھ سے خطرن
اسی طرح آج کل بلاگنگ میں بھی جدت آتی جا رہی ہے,کر سکے انہیں اس روایت سے الگ کر کے نہیں
یہ مریم نواز صاحبہ کی عوامی سیاست کا پہلا دن ہے۔,ملتان نیشنل بینک کے عملے کے مبینہ فراڈ کے خلاف تاجروںشہریوں کا احتجاج
میں سردی سے کانپ رہا ہوں,وہ کسی آف شور کمپنی کے مالک نہیں۔
یہ بحران تو نہیں تھا۔,اب ایک نظر ہماری ایران پالیسی پر۔
اسے پرے کرنا چاہیے۔,عمران خان کا مقدمہ یہ ہے کہ ادارے غیر فعال ہیں۔
ہیری پوٹر سیریز کی خری کتاب شائع,اور جن امور میں قرآن و سنت خاموش ہیں ان میں اپنی عقل و بصیرت سے اجتہادی آراقائم کرنی ہیں
اب مرد کو بچے اور گھر کا مستقبل پریشان کرتا ہے۔,جوانی کے ایام تھے۔
پی ٹی آئی حکومت,ان لیڈروں کو دیکھیے۔
تھیٹر جائیں گے۔,یہ جمہوریت کس کام کی
کی جو عادت پسند ہے,سب کچھ کرسکتا ہوں شاید اس لیے مقبول ہوں سلمان
جہاں قوم کو قیادت کی ضرورت ہے۔,ان کا مستقبل خطرے سے خالی نہ ہو گا۔
ایک طرف پہاڑ تھا,ان سے وہ آشنا نہ تھے۔
یہی معاملہ دوسری عصبیتوں کا بھی ہے۔,اسے خود بھی پتہ تھا کہ وہ سچا ہے
اس قانون کا شکار ہیں,خطرہ بڑھتا جارہا ہے
کامن ویلتھ گیمز ہاکی قومی ٹیم سیمی فائنل کی دوڑ سے باہر,کیا اس کے پاس اس کی کوئی اخلاقی یا مذہبی دلیل ہے
خوشبو ہوا کی لہروں پر سفر کرتی ہے۔,کہیں تو بہر خدا آج ذکر یار چلے
کیا وزیر اعظم عمران خان یہ کردار ادا کر سکتے ہیں,نیا کام کرنے والےافراد ذہنی دباؤ کا شکار
آل پارٹیز کانفرنس اور مذہب کی سیاست کیا مذہب کو,کارکردگی ہی کا دوسرا نام گورننس ہے۔
لیکن ایسا نہ کیا گیا۔,ایسا لگتاہے جیسے اعصاب پہ تناؤ ہے۔
تو پانی ڈال لیا کریں۔,حکمت عملی طے کرتی ہے کہ آپ کس سطح کے رہنما ہیں۔
تاخیر کا شکار ہے۔,کسی بھی قسم کی تکرار یا بار بار ترغیب غنودگی جیسی کیفیت پیدا کرتی ہے
عوام کے لئے نہیں۔,شان کے لئے انمول
آج دھوپ ہے,ہمارا ہر بحران اسی تصادم کی کوکھ سے پیدا ہوا ہے۔
جنوبی الٹائی,تو رونا دھونا۔
تو مناسب ہوتی۔,آئین انہیں پانچ سال کے لیے کام کی اجازت دیتا ہے۔
تو کشمیر کے مسئلے پر ہم کیوں یہ توقع رکھتے ہیں۔,اداکارہ کی گاڑی ایک ٹرک سے پیچھے سے
جن کی چھٹی ہونی تھی۔,بے جا ادق لفظیات سے قاری پر رعب ڈالتے نظر نہیں آتے
وادر سے متعلق دلچسپ حقائق جانیے سعد سہیل اور محمد ابراہیم کی اس پوڈکاسٹ میں,کانگو
جو اگر ان کے خاندان سے نہ ہوں۔,وہ ماحول پاکستان کا ماحول نہیں ہے۔
چین کا خلائی اسٹ,جس کا بجٹ زیربحث نہ لایا جا سکے جس نے ملکی قیادت پر کئی بار شب خون مارا ہو
ملازم نے کہا,آج ہماری سیاست کا سب سے بڑا اور اہم سوال یہی ہے
پہاڑی جانوروں کے شکار کے لئے,مینیجمنٹ کا خیال تھا کہ ہر فارمیٹ میں
عالم اسلام کے اس قلعے کو مسمار کرنے میں کوئی دقیقہ فروگزاشت نہ کیا جائے,راستے میں ایسی ایسی دل فریب جگہیں آئیں
تاہم وہ اسے برقرار نہ رکھ سکے,چس ہم خرید کر تھے
یوں مذہب کے علمبرداروں سے خیر کا صدور ہو رہا ہے۔,بھارت میں ہونے والا ورلڈ کپ کبڈی ٹورنامنٹ منسوخ
جب اردگرد دیکھنا شروع کیا اور جب پڑھنا شروع کیا,ہر روش کھنچ گئی کماں کی طرح
میں اس وقت ایک پتھر پر بیٹھا ہوں جو میرے حجم سے تقریبا گنا بڑ اہو گا,بہت جلدی پریشان ہوجاتا ہوں
سرشاریہاں کے باشندوں کی مہمان نوازی اور برتائو سیاح کو ساری زندگی یاد رہتی ہیں ۔,بکی سے رابطوں کا الزام بھارتی بورڈ سری نواسن سے ناخوش ئی سی سی چیئرمین کا عہدہ خطرے میں
اس کی مسکراہٹ نے اس کے غصےپر پردہ ڈال رکھا تھا,روس عام ملک نہ تھا سپر پاور تھا۔
تاہم رسالت مآبﷺ سے,سونا اور ہیرے بھی یہاں سے نکلتے ہیں
آپ کو وہاں جانے کی ضرورت نہیں,سنیچر اور اتوار کو سونے کی عالمی مارکیٹ بند ہے
کانٹے سے آلووں کو پھینٹو,ابوبکر جنتی ہیں
میں برتن دھونے والی ٹیم میں شامل تھا ۔,ضرورت کی طلب ہی خواہش بنتی ہے
آئے دن کوئی نیا واقعہ رونما ہوتا ہے,آگ کی طرح پھیل گئی
سیرنیا ولیمز نے سنسناٹی ڈبلیو ٹی اے ویمنز ٹائٹل جیت لیا,اعداد کے لحاظ سے ہندسوں کی چھٹائی کریں
اپنے رائے دوسروں کے نہیں دیتا,فیروئیز
آپ کہاں رہتے ہیں,دوست کے گھر پہنچے
اب بھی ہو رہاہے کیا ہم تحفظ حرمین کے عنوان سے ہونے,ون ڈے اور ٹیسٹ کی نہ صرف
یہاں کے لوگ بہت ملنسار تھے ۔,تم اس پر بھروسہ کیوں نہیں کرتے
اپنے لیے کھڑا ہونے کے قابل ہوں,عام آدمی ان پہ رشک ہی کر سکتا ہے۔
اسے کوئی سادگی سمجھے یا دیدہ دلیری۔,دوسروں سے اپنے کام کرواتا ہوں
تو رحمت کے فرشتوں کا نزول ہوتا ہے۔,پاکستان میں صوبائی اور قومی الیکشن
چیئرمین پی سی بی کو عہدے سے ہٹانے کیلئے دائر درخواست مسترد,یہی کافی ہے۔
آئی بیکس کوہ ایلپس کا بکرا,میں نے تمہیں پہچانا نہیں
"معرفت کی دوسری سطح ""سائنٹیفک معرفت"" ہے۔",اوراس کے ساتھ اداروں میں تصادم کو بھی روکنا ہے۔
ٹھنڈی ہوا کے جھونکوں کا منتظر ہے,ہم ایک نیا پاکستان دیکھتے ہیں۔
بیماری کیا ہے,اب ہو گا
کروڑ روپے سے زیادہ بنتی ہے۔,ساتھ یہ جھوٹ بھی بولا ہے کہ فوج کا ایک بھی سپاہی بلوچستان میں نہیں لڑ رہا بلکہ فوجی بیرکوں میں بیٹھے ہیں
یاد کا پھر کوئی دروازہ کھلا آخر شب,ڈاکو کس نے پکڑنے تھے
قرآن مجید میں یہ بات اس طرح بیان نہیں ہوئی,کل کا اعلان منڈیوں کے بند ہونے کے بعد کیا گیا تھا
جب گوادر کی بندرگاہ تعمیر کے حتمی مرحلے میں تھی۔,کوئی چیز تو ہو جس پہ ایمان ٹھہرے۔
ایف پی سی سی ائی نے تھائی لینڈ اور ترکی کیساتھ ازاد تجارتی معاہدوں کی مخالفت کردی,یہاں سے ہمارے دلچسپ ایڈونچر کا آغاز ہوتا ہے ۔
ہم دم حدیث کوئے ملامت سنائیو,کوئی خوشبو بدلتی رہی پیرہن
اصل ٹارگٹ پہ نظریں جمی ہوئی ہیں۔,بند کر دی گئی۔
اس عمر میں کافی زمانہ دیکھ چکے ہیں۔,ان کا ہرگز نہ تھا۔
وفاقی وزیر کی ہدایت پر بجلی تقسیم کار کمپنیوں کی جانب سےخصوصی ہنگامی رومز کا قیام,دونوں ملکوں کی باہمی دلچسپی کے امور پر تبادلہ خیال کیا ہے
پاکستان نے ٹی سیریز جیت لیمہمانوں نے امن کی تصدیق کردی,میرا نہیں خیال ٹام واپس آئے گا۔
اس سے ماحولیاتی تحفظ میں مددملے گی ۔,یہ وقت ہی بتائے گا۔
اس بجلی کی گاڑی کو چارج کرنے کاطریقہ یہ ھےکہ جیسے آ,پاکستان میں جمہوری ادارے قائم ہیں۔
گھر پے کوئی نہیں تھا۔,وہ اسی مسئلے پر گرینڈ ڈائیلاگ کی بات کر رہے ہیں۔
ان میں کشش بھی ہے۔,جب انقلاب بھی ایک حل بلکہ واحد حل سمجھا جاتا تھا۔
ہر چارہ گر کو چارہ گری سے گریز تھا,مفتی منیب الرحمن صاحب کی اس وقت دو حیثیتیں ہیں۔
اس خاندان نے ملک کے لیے نہیں اقتدار کے لیے جان دی اس وقت پاکستان کا سب سے امیر خاندان ہے,امریکی حکومت نے ایک منصوبہ متعارف کروایا ہے
ہوا کہ اقوام متحدہ کو پہلی بار کشمیرمیں انسانی حقوق,مگر دوبارہ اس اعزاز کے مالک بن گئے تھے
قوم کا کیا حال ہے۔,ہیٹی
یہ تصور نہایت خوشگوار ہوتا ہے,ہر سال کی طرح اس سال بھی ح بجٹ موضوع بحث بنا ہوا ہے
کوئٹہ میں جوڈو کراٹے ٹورنامنٹ شروع ہو گیا,عظیم جرمن شاعر ہے
یعنی وہ نچلے درجے کے شہری رہیں گے۔,اب جوتے خریدنے ہوں۔
سروج خان بالی وڈ,تو اس کے حل کے لیے ہم دین کی طرف رجوع کرتے ہیں۔
ایک مسلک کے علماء ہوں۔,جھوٹ کے پاؤں نہیں ہوتے۔
لیکن وہ کیفیت ہم میں کہاں سے آتی,یہ نیشنل ایکشن پلان کی ناکامی نہیں کامیابی ہے۔
تقسیم کار کمپنیوں کی طرف سے ایسا نہیں کیا گیا,جائیں تو جائیں کہاں
بازیچۂ اطفال ہے دنیا مرے آگے,اب کی بار بھی اسلام آباد کا ہی مقابلہ ہے لیکن اس بار مدمقابل
میری سمجھ میں کچھ نہ آیا,آپ کی آفس میں کام کرتے ہیں۔
ان گینگز کے ساتھ ساتھ انکے سہولت کاروں کا خاتمہ بھی ضروری ہے,یہ بساط جو ہمارے لیے بچھائی گئی ہے یہ حقیقت ہے۔
رحمی بھی اپنے انتہا کو پہنچ جاتی ہے,نئے وزیر اعظم کا چنائو درپیش ہے۔
بلکہ کپتان بدلنے کے بجائے نظام تبدیل کرنے کی ضرورت,ہم چلتے رہے بھاگتے رہے گھومتے رہے جب تک ہماری ٹانگوں نے ہمارا ساتھ دیا
کچھ لوگ ایسے واقعات کوآڑ بنا کردوسرے ملکوں کی امیگریشن حاصل کرتے ہیں,کراچی میں پی ایس ایل کا جادو سر چڑھ کر بولنے لگا
میں دنیا کی ساتویں ایٹمی طاقت اور دنیا کے پانچویں بڑے ملک کا وزیراطلاعات ہوں,جب پاکستان آتے ہیں تو پاکستانی پاسپورٹ نکال لیتے ہیں
اب ایک دیکھنے اور سننے والے کو کیا محسوس ہو گا,ہر سال کی طرح اس سال بھی ح بجٹ موضوع بحث بنا ہوا ہے
دنیا میں جنگ ہمیشہ اقتدار اور قوت کے لیے ہوتی ہے۔,وہ کون سے معاشرے ہیں۔
آخری ماہ وسال میں پیپلزپارٹی کا تھا۔,اب تو وہ کسی رات سلامتی کا پیغام لے کر آئے ہوں۔
مسٹر نکسن نے چین سے آج روانہ ہونا تھا,دیکھا جائے تو پاکستان کی فوج اسلامی فوج
آج تیل کی قیمت ایک ڈالر فی بیرل کم ہو تی ہے۔,دیگر کوئی جماعت یا لیڈر نہیں ہے۔
روپے کی قدر میں کمی سے مہنگائی بڑھے گی غیاث پراچہ,کچھ کرنے سے قاصر تھے۔
سو ایسے ہی چلے۔,ہمارامزاج اور ہے۔
اسپاٹ فکسنگ کیس کرکٹر شاہ زیب حسن کی سزا چار سال کر دی گئی,جن کا کام ہے۔
حالانکہ وہ بھی ایک فریق کی نمائندگی کر رہے ہیں۔,میرا خیال ہے کہ اسے غوروفکر کی بنیاد بنانا چاہیے۔
میرا ارباب اختیار سے درخواست ہونا کہ قدرت کا یہ حسین نمونہ کو ختم ہونا سے بچنا,مسلک دیوبندکے کام کا انداز فطری ہے۔
ذرا انتظار فرمائیے,انگلش پریمیئر لیگ فٹبال مانچسٹریونائیٹڈ اور لیسسٹر سٹی کی ٹیمیں مدمقابل ہونگی
لاہور قلندرز کے,لیکن جس دور کی میں بات کر رہا ہوں۔
سب نے نیک خواہشات کے ساتھ ہمیں الوداع کیا,جو کرپشن کیسز کی وجہ سے اندر ہیں۔
پی اس ال کا فائنل دوسری فائنلسٹ ٹیم اسلام باد یونائیٹڈ کراچی پہنچ گئی,تاہم ونڈوز ایکس پی یا دیگر پرانے ورژن استعمال کرنے والے صارفین کو اسے خریدنا ہوگا
اس ملک میں جمہوریت نہیں ہے۔,یہ انفرادی بصیرت سے اجتماعی بصیرت کی طرف سفر ہے۔
بپھر تا ہے تو بربادی کا ساماں پیدا کرتا ہے ۔,جان بوجھ کر ڈیتھ ریٹ بڑھایا جا رہا ہے
پنجاب حکومت اور شوگر ملز مالکان کے درمیان مذاکرات ناکام,یہ سب باتیں میرے علم میں تھیں۔
تاریخ ہند کا ایک نیا دور شروع ہوا,ماسکو میں نمائشی میچ کا انعقادپیوٹن نے کک لگاکر افتتاح کیا
اس جمود کو توڑا ہے۔,اس طرح وہ فتوی یا قانون بے توقیر ہوتا ہے
کیمرون,تم تو پسینے سے پورے بھیگ گئے
اسی لئے ایسی کسی جگہ,لاہور کا بازار حسن نہ صرف قائم تھا۔
تو اس کے ساتھ ہم خود بھی,پاکستان میں ہمارا کل اسلام نماز جمعہ اور مولبی کی تقریر کے علاوہ کچھ نہ تھا
یہ مشکل کام وہ کیسے سرانجام دیں گے,چولہے ایسے ہی ہوتے ہوں
جہاں مصباح کی قیادت میں,مسجد حرام اور مسجد نبوی کی توسیع ہوئی
کتنا کچھ ہمیں برداشت کرنا پڑا ہے۔,جب دوست سے ت کی تو اچھا جواب ملا
مفتی صاحب کی دوسری حیثیت سرکاری ہے۔,اب نواز شریف اور ان کے دونوں بیٹوں کو خود ہی
کیا سماں تھا۔,ہارٹ اٹیک سے چھٹ
رمضان یا عید کا چاند نظر آیا ہے یا نہیں آیا,بارش ہونے کو ہے
دوسروں کے ساتھ رابطے سے پرہیز کرتا ہوں,سائنس سے لگاؤ پیدا کرنے میں عمر کی کوئی قید نہیں ہے
پھر یہ بے چارہ نہ جانے کیا کر گزرے,اس شام کے تیور عجیب تھے۔
اعصابی نظام کی دائمی بیماری بنیادی طور پر مرکزی اعصابی نظام کو متاثر کرتی ہے,مس اینسروڈ نیو یارک میں شراب کی ایک آزاد مصنفہ ہیں
جنوبی افریقہ کے خلاف ٹیسٹ میچ کے دوران اسٹریلوی کھلاڑی کی بال ٹمپرنگ,کیا ن لیگ اس مقدمے کے ابلاغ کی صلاحیت رکھتی ہے
اس کا کیا بنتاہے۔,میرے پاس بولنے کے لئے الفاظ نہیں ہیں
جمہوریت کی برکت سے لیکن اس کا امکان کم ہوگیا ہے۔,نہ ٹیلی فون‘ نہ بجلی۔
فلم کے پروڈیوسر ادتیہ چوپڑا ہیں۔,بھٹو کے ناقدین سے ملک بھرا پڑا ہے۔
درگوا,اپنی نفرت کو ان طبقوں کی طرف موڑ دیں
ہم مغرب نہیں۔,تو ان کا اپنا سیاسی ورثہ تھا۔
یہی جنون نیا پاکستان بنائے گا۔,ایسے بھی کم نہیں جو انصاف کی بات کرنے والے ہیں۔
غیر یقینی صورتحال میں ملکی ترقی ممکن نہیں۔,نام موجود نہ تھا۔
اس لحاظ سے یہ دنیا کی نویں بڑی زبان ہے,ا ور دوسری طرف خارجہ پالیسی بھی اس کی زد میں ہے۔
کے سنگم پر واقع آئی جے پی روڈ,جہاں میں زیرتعلیم ہوں یہ جگہ اسلام آباد کی حدود میں ہی ہے
